課程名稱,課程代碼,教科書1,教科書2,教科書3,教科書4,教科書5,教科書6,教科書7,教科書8,教科書9,教科書10,教科書11,教科書12,教科書13,教科書14,教科書15,教科書16,教科書17,教科書18,教科書19,教科書20,教科書21,教科書22,教科書23,教科書24,教科書25,教科書26,教科書27,教科書28,教科書29,教科書30,教科書31,教科書32,教科書33,教科書34,教科書35,教科書36,教科書37,教科書38,教科書39,教科書40,教科書41
專業學期實習(一),CA001L,"各廠商實習手冊"
專業學期實習(二),CA002L
專業實習專題 ,CA003L,"各廠商實習手冊"
教育實習,ED002A,""
教育實習,ED002A,""
教育實習,ED002A,""
教育實習,ED002A,""
教育實習,ED002A,""
教育實習,ED002A,""
教育實習,ED002A,""
青少年心理學,ED049A,"青少年心理學"
教育社會學,ED064A,"教育社會學：人物與思想"
教育心理學,ED085A,"教育心理學"
教育概論,ED087A,"教育概論"
數學教材教法,ED103A,"中學數學教材教法108課綱"
特殊教育導論,ED107A,"特殊教育導論-探究特殊學習需求者"
教學原理與策略,ED118A,"教學原理與設計","教學原理與設計"
教學原理與策略實踐,ED119A,"教學原理與設計","教學原理與設計"
學習評量與診斷,ED120A
學習評量與診斷,ED120A
學習評量與診斷實踐,ED121A
學習評量與診斷實踐,ED121A
教學展演與表達,ED123A,""
國文教材教法,ED124A
英文教材教法,ED125A
生物教材教法,ED126A
多媒體設計教材教法,ED128A
輔導教材教法,ED129A
物理教材教法,ED148A
資訊科技教材教法,ED149A
課程發展與設計,ED325A,"課程發展與設計"
宗教哲學,GQ101A
宗教哲學,GQ101B
宗教哲學,GQ101C
宗教哲學,GQ101D
宗教哲學,GQ101E
宗教哲學,GQ101F
宗教哲學,GQ101G,"Readings in the philosophy of religion"
宗教哲學,GQ101H,"Readings in the philosophy of religion"
宗教哲學,GQ101I
宗教哲學,GQ101J
宗教哲學,GQ101K
宗教哲學,GQ101L,"上帝啊!為什麼?--一群大學生的疑問"
宗教哲學,GQ101M,"宗教哲學","科學與宗教引論"
宗教哲學,GQ101N,"神聖的根源"
宗教哲學,GQ101O
宗教哲學,GQ101P,"人的宗教"
宗教哲學,GQ101Q,"人的宗教"
宗教哲學,GQ101R,"《真理的論述》"
宗教哲學,GQ101S,"《真理的論述》"
宗教哲學,GQ101T,"教材自編"
宗教哲學,GQ101U,"教材自編"
宗教哲學,GQ101V,"教材自編"
宗教哲學,GQ101W,"蘇菲的世界","標竿人生 : 建造目的導向的人生","尋神事","尋神記 : 與神相遇世情中"
宗教哲學,GQ101X,"蘇菲的世界","標竿人生 : 建造目的導向的人生","尋神事","尋神記 : 與神相遇世情中"
人生哲學,GQ201A
人生哲學,GQ201B
人生哲學,GQ201C
人生哲學,GQ201D
人生哲學,GQ201E
人生哲學,GQ201F
人生哲學,GQ201F
人生哲學,GQ201G,"《人生哲學：理論與實踐》","《作個成功學習的大學生：動機與學習 自我管理》","《哲學與人生》","《設計你所愛的人生：用設計思考的創 造力，建構一個你想要的未來》"
人生哲學,GQ201H,"《人生哲學：理論與實踐》","《作個成功學習的大學生：動機與學習 自我管理》","《哲學與人生》","《設計你所愛的人生：用設計思考的創 造力，建構一個你想要的未來》"
人生哲學,GQ201I
人生哲學,GQ201J
人生哲學,GQ201K
人生哲學,GQ201L
人生哲學,GQ201M,"致嘉蘭書(女生必讀)","破局而出","致偉立書(男生必讀)","生命教育之理論與實踐","飄浮的蘋果"
人生哲學,GQ201N,"致嘉蘭書(女生必讀)","破局而出","致偉立書(男生必讀)","生命教育之理論與實踐","飄浮的蘋果"
人生哲學,GQ201P
人生哲學,GQ201Q,"自編投影片"
人生哲學,GQ201R,"自編投影片"
人生哲學,GQ201S,"做最好的自己 = Be your personal best","男人是蚌,女人是鐵橇","了解你的伴侶","贏在今天 : 掌握成功的12操練","錢買不到的東西 : 金錢與正義的攻防"
人生哲學,GQ201T
人生哲學,GQ201U,"把時間當作朋友 : 沒有人能管理時間 你真正能管理的只有你自己","卡內基溝通與人際關係 : 如何贏取友誼與影響他人","溝通大師教你拿回情緒主導權","態度,決定人生的高度","人生本來就塗塗改改 : 那些我們從犯錯中學到的成長筆記","倒帶人生 : 一個劍橋遊民的生命啟示課","Life be Simple簡單生活學 : 關於優雅、品味、環保與慢活的美好日常指南","愛.生活與學習"
人生哲學,GQ201V,"人生哲學"
人生哲學,GQ201W
人生哲學,GQ201X
人生哲學,GQ201Y
人生哲學,GQ201Z,"與成功有約：高效能人士的七個習慣"
台灣政治與民主,GQ392A,"台灣政治與民主多媒體互動教學課程講義","正義：一場思辨之旅","戰後臺灣政治史：中華民國臺灣化的歷程","開放國會與公民參與","世界是平的","菁英的反叛 The Revolt of The Elites and the Betrayal of Democracy","拿破崙不是敗在滑鐵盧戰役而是金融戰爭：從「金錢的流動」發現5000年歷史的意外事實"
台灣政治與民主,GQ392B,"台灣政治與民主多媒體互動教學課程講義","正義：一場思辨之旅","戰後臺灣政治史：中華民國臺灣化的歷程","開放國會與公民參與","世界是平的","菁英的反叛 The Revolt of The Elites and the Betrayal of Democracy","拿破崙不是敗在滑鐵盧戰役而是金融戰爭：從「金錢的流動」發現5000年歷史的意外事實"
台灣政治與民主,GQ392C,"同學閱讀上課投影講義和資料"
台灣政治與民主,GQ392D,"同學閱讀上課投影講義和資料"
台灣政治與民主,GQ392E
台灣政治與民主,GQ392F
法律與現代生活,GQ393A,"法律與生活","法律與生活：案例式"
法律與現代生活,GQ393B,"法律與生活","法律與生活：案例式"
法律與現代生活,GQ393C
法律與現代生活,GQ393D
當代人權議題與挑戰,GQ394A,"自製教材"
當代人權議題與挑戰,GQ394B,"自製教材"
當代人權議題與挑戰,GQ394C,""
當代人權議題與挑戰,GQ394D,"國際人權的進展"
當代人權議題與挑戰,GQ394E,"國際人權的進展"
當代人權議題與挑戰,GQ394F,""
生活社會學,GQ395B,"社會學與臺灣社會 = Sociology and Taiwan"
生活社會學,GQ395C,"社會學與臺灣社會 = Sociology and Taiwan"
生活社會學,GQ395D,"社會學與臺灣社會 = Sociology and Taiwan"
生活社會學,GQ395E,"社會學與臺灣社會 = Sociology and Taiwan"
全球化大議題,GQ396A
全球化大議題,GQ396B
全球化大議題,GQ396C,"《國際關係的政治經濟分析》","《正義: 一場思辨之旅》","《政治的意識形態》"
全球化大議題,GQ396D,"《國際關係的政治經濟分析》","《正義: 一場思辨之旅》","《政治的意識形態》"
全球化大議題,GQ396F
經濟學的世界,GQ397A
經濟學的世界,GQ397B
經濟學的世界,GQ397C,"經濟學 : 理論解析與時論觀點 = Economics"
區域文明史,GQ456A
區域文明史,GQ456B
區域文明史,GQ456C
區域文明史,GQ456D
區域文明史,GQ456E,"中美關係史話"
區域文明史,GQ456F,"中美關係史話"
區域文明史,GQ456G,"中國歷史-先秦卷"
區域文明史,GQ456H,"中國歷史-先秦卷"
區域文明史,GQ456I,"冷戰後美國的東亞政策（1989-1997）","遏制戰略︰戰後美國國家安全政策評析","布什的困境︰海內外專家透視美國外交政策走向","美國的中國政策：圍堵、交往、戰略夥伴","斷交後的中美關係","危機潛伏－從平衡到失衡　布希第一任期的兩岸政策","美國外交與危機處理","後冷戰時期美國海外出兵案例研究","布什戰爭內閣史","轉向：從尼克森到柯林頓美中關係揭密","布希新政府之兩岸政策走向","美國外交政策內幕","甘迺迪政府對中蘇共分裂之認知與反應","交往與促變--柯林頓政府對中共的外交戰略","冷戰後美國的全球戰略和世界地位","美國對華政策之轉折：尼克森時期之決策過程與背景","美國的危機與轉機：從老布希、柯林頓到小布希的外交成績單看超級強權的未來走向","當代美國外交史"
區域文明史,GQ456J,"冷戰後美國的東亞政策（1989-1997）","遏制戰略︰戰後美國國家安全政策評析","布什的困境︰海內外專家透視美國外交政策走向","美國的中國政策：圍堵、交往、戰略夥伴","斷交後的中美關係","危機潛伏－從平衡到失衡　布希第一任期的兩岸政策","美國外交與危機處理","後冷戰時期美國海外出兵案例研究","布什戰爭內閣史","轉向：從尼克森到柯林頓美中關係揭密","布希新政府之兩岸政策走向","美國外交政策內幕","甘迺迪政府對中蘇共分裂之認知與反應","交往與促變--柯林頓政府對中共的外交戰略","冷戰後美國的全球戰略和世界地位","美國對華政策之轉折：尼克森時期之決策過程與背景","美國的危機與轉機：從老布希、柯林頓到小布希的外交成績單看超級強權的未來走向","當代美國外交史"
區域文明史,GQ456K,"冷戰後美國的東亞政策（1989-1997）","遏制戰略︰戰後美國國家安全政策評析","布什的困境︰海內外專家透視美國外交政策走向","美國的中國政策：圍堵、交往、戰略夥伴","斷交後的中美關係","危機潛伏－從平衡到失衡　布希第一任期的兩岸政策","美國外交與危機處理","後冷戰時期美國海外出兵案例研究","布什戰爭內閣史","轉向：從尼克森到柯林頓美中關係揭密","布希新政府之兩岸政策走向","美國外交政策內幕","甘迺迪政府對中蘇共分裂之認知與反應","交往與促變--柯林頓政府對中共的外交戰略","冷戰後美國的全球戰略和世界地位","美國對華政策之轉折：尼克森時期之決策過程與背景","美國的危機與轉機：從老布希、柯林頓到小布希的外交成績單看超級強權的未來走向","當代美國外交史"
區域文明史,GQ456L
區域文明史,GQ456M
區域文明史,GQ456N
區域文明史,GQ456O
文化思想史,GQ457A
文化思想史,GQ457B
文化思想史,GQ457C
文化思想史,GQ457D,"《台灣史》","《臺灣史》","《中國現代史》"
文化思想史,GQ457E
文化思想史,GQ457F
文化思想史,GQ457G,"隋唐五代社會生活史"
文化思想史,GQ457H,"隋唐五代社會生活史"
文化思想史,GQ457I
文化思想史,GQ457J
文學經典閱讀,GQ701A
文學經典閱讀,GQ701B
通識教育自主學習(一),GE000A
通識教育自主學習(二),GE000C
西洋弦樂器演奏賞析,GE003A,"Why you love music: from Mozart to Metallica: the emotional power of beautiful sounds"
西洋兒童文學名著選讀,GE005A,"The little prince","Treasure Island","Peter Pan","The secret garden","Charlotte's web","The adventures of Tom Sawyer [electronic resource]","猜猜我有多愛你"
街頭行動藝術,GE008A,"The Art of Participation: 1950 to Now","Living as Form: Socially Engaged Art from 1991-2011","If You Lived Here: The City in Art, Theory, and Social Activism : A Project by Martha Rosier (Discussions in Contemporary Culture)."
街頭行動藝術,GE008B,"The Art of Participation: 1950 to Now","Living as Form: Socially Engaged Art from 1991-2011","If You Lived Here: The City in Art, Theory, and Social Activism : A Project by Martha Rosier (Discussions in Contemporary Culture)."
動漫文學,GE015A,"1.自編教材 2.課程PPT"
動漫文學,GE015B,"1.自編教材 2.課程PPT"
布袋戲與台灣文化,GE017A
布袋戲與台灣文化,GE017B
電影與視覺藝術,GE018A,"臥虎藏龍 : 重出江湖版","尋找冥劍 : 從<臥虎藏龍>談華語電影國際化 = Globalization of Chinese language cinemas ; a case study","一八九五 = 1895 in Formosa [錄影資料]","一八九五年 : 中國出賣臺灣","臥虎藏龍","台灣歷史 : 日本統治時代的台灣 : 一八九五~一九四五年/四六年 五十年的軌跡","臺灣歷史 [電子資源] : 日本統治時代的臺灣 : 一八九五-一九四五/四六年 五十年的軌跡","臺灣重要歷史文件選編 : (一八九五-一九四五)","日軍在臺灣 : 一八九五年至一九四五年的軍事措施與主要活動","1895乙未戰爭撥雲見日 = Obscured in 1895 : a piece of little-known history","鍾肇政全集. 5,"
電影與視覺藝術,GE018B,"臥虎藏龍 : 重出江湖版","尋找冥劍 : 從<臥虎藏龍>談華語電影國際化 = Globalization of Chinese language cinemas ; a case study","一八九五 = 1895 in Formosa [錄影資料]","一八九五年 : 中國出賣臺灣","臥虎藏龍","台灣歷史 : 日本統治時代的台灣 : 一八九五~一九四五年/四六年 五十年的軌跡","臺灣歷史 [電子資源] : 日本統治時代的臺灣 : 一八九五-一九四五/四六年 五十年的軌跡","臺灣重要歷史文件選編 : (一八九五-一九四五)","日軍在臺灣 : 一八九五年至一九四五年的軍事措施與主要活動","1895乙未戰爭撥雲見日 = Obscured in 1895 : a piece of little-known history","鍾肇政全集. 5,"
馬華文學,GE019A,"馬華文學十四講","赤道回聲","馬來西亞華語語系文學"
一起來玩音樂劇,GE020A
一起來玩音樂劇展演,GE021A
世界文學與藝術歌曲,GE024A
流行音樂詞曲賞析,GE027A,"自編教材"
英語經典小說悅讀,GE028A,"Tuesdays with Morrie: an old man, a young man, and life’s greatest lesson"
義大利生活與藝術,GE037A
職場情緒軟功夫,GE038A,"情緒管理",""
職場情緒軟功夫,GE038B,"情緒管理",""
閱讀音樂,GE040A,"自編教材"
大學入門,GE043A
大學入門,GE043B
大學入門,GE043C,"無"
大學入門,GE043C,"無"
大學入門,GE043D,"東京未來派","台北Lost & found : 都市偵探的世紀末台北觀察 = Taipei lost & found","東京未來派. 1, [電子資源] = Tokyo avantgarde"
大學入門,GE043E
大學入門,GE043E
大學入門,GE043E
大學入門,GE043E
大學入門,GE043E
大學入門,GE043E
大學入門,GE043F
大學入門,GE043F
大學入門,GE043G
大學入門,GE043H,"法學入門"
音樂素養與社群服務,GE050A,"從服務中學習：跨領域服務學習理論與實務"
跨域思辨與表達,GE054A,"爬樹的魚","追鷹的孩子","尋水之心"
設計人生與管理學習,GE057A,"設計你所愛的人生 : 用設計思考的創造力,建構一個你想要的未來","!上頁 下頁 主題活動試閱 不敗學習力：學霸都在用的10大聰明讀書法"
楚漢相爭之職場競爭力,GE100A
臺灣文化資產賞析,GE101A
臺灣文化資產賞析,GE101B
行政學與公共管理,GE103A,"行政學"
財務金融理論與應用,GE105A
東南亞政治與社會,GE106A
國際現勢,GE107A,"《圖解簡明世界局勢2017年版》"
國際現勢,GE107B
教育倫理,GE116A,"專業倫理 : 教育倫理、一般倫理"
教育倫理,GE116A,"專業倫理 : 教育倫理、一般倫理"
臺灣與世界,GE117A
文化資產與世界遺產,GE121A
國際事務,GE126A
國際事務,GE126B
國際菁英養成實務,GE127A
職場溝通軟功夫,GE131A
職場溝通軟功夫,GE131B,"人生思考題 [電子資源] : 哈佛教育學院院長提出的5+1個人生重要問題","原子習慣：細微改變帶來巨大成就的實證法則 Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones","開口就說對話 [電子資源] : 如何在利害攸關、意見相左或情緒失控的關鍵時刻話險為夷?"
全球化與台灣發展,GE132A
全球化與台灣發展,GE132B
北極生態與地緣政治的變化,GE134A
在地社區探究與設計思考,GE135A,"創新的用途理論","服務設計，跟著做"
聯合國永續發展目標概論,GE137A
永續發展與社會進步,GE138A
科學與信仰,GE224A,"伽利略的女兒","安妮的盒子","接觸未來"
生命教育概論,GE226A
生命教育概論,GE226B
生命教育概論,GE226C
宗教音樂賞析,GE234A
宗教音樂賞析,GE234B
聖經生命美學,GE245A
哲學概論,GE246A,"《哲學概論》上.下","《哲學概論》"
哲學概論,GE246B,"哲學概論"
哲學概論,GE246C
價值判斷與分析,GE248A,"拯救與逍遙"
價值判斷與分析,GE248B,"拯救與逍遙"
價值判斷與分析,GE248C,"拯救與逍遙"
中西哲學的生死關懷,GE249A
中西哲學的生死關懷,GE249B
聖經中的人際觀,GE260B
哲學與生活,GE263A,"比披薩好吃的哲學故事","圖解哲學 : 一冊通曉.不可不知的基礎人文知識"
哲學與生活,GE263B,"比披薩好吃的哲學故事","圖解哲學 : 一冊通曉.不可不知的基礎人文知識"
生命倫理學,GE269A,"基本倫理學","生與死"
生命倫理學,GE269B,"基本倫理學","生與死"
時間的奧秘,GE274A,"默默"
生命與品格典範,GE275A,"生命教育之理論與實踐","致偉立書」(男同學必讀)","致嘉蘭書(女同學必讀)","破局而出"
生命與品格典範,GE275B,"生命教育之理論與實踐","致偉立書」(男同學必讀)","致嘉蘭書(女同學必讀)","破局而出"
生命與品格典範,GE275C,"生命教育之理論與實踐","致偉立書」(男同學必讀)","致嘉蘭書(女同學必讀)","破局而出"
語言與邏輯,GE289A
哲學與人生,GE293A,"西洋哲學史(一) ：希臘與羅馬","錢買不到的東西 : 金錢與正義的攻防","訂製完美：基因工程時代的人性思辨","正義，一場思辨之旅"
哲學與人生,GE293B,"西洋哲學史(一) ：希臘與羅馬","錢買不到的東西 : 金錢與正義的攻防","訂製完美：基因工程時代的人性思辨","正義，一場思辨之旅"
思辨與實用邏輯,GE299A,"自編講義"
思辨與實用邏輯,GE299B,"自編講義"
思辨與實用邏輯,GE299C,"自編講義"
思辨與實用邏輯,GE299D
哲學與現代思潮,GE300A,"自編教材"
哲學與現代思潮,GE300B,"自編教材"
人工智慧倫理議題,GE301A
人工智慧倫理議題,GE301B
婚姻與家庭,GE400A
國際關係,GE423A
日本國情與文化,GE439A,"日本剖析"
日本語言與文化,GE440A
環境倫理,GE450A
設計倫理,GE454A,"專業倫理：設計倫理"
設計倫理,GE454A,"專業倫理：設計倫理"
設計倫理,GE454A,"專業倫理：設計倫理"
設計倫理,GE454B
設計倫理,GE454B
工程與法律,GE457A,"工程與法律 Construction and law"
認識智慧財產權,GE462A,"著作權法逐條釋義","當文創遇上法律：智慧財產的運用"
服務學習,GE474A,"自編教材"
科學與倫理,GE481A
科學與倫理,GE481A
科學與倫理,GE481A
科學與倫理,GE481B
科學與倫理,GE481B
科學與倫理,GE481C
科學與倫理,GE481C
科學與倫理,GE481D,"科學與倫理",""
科學與倫理,GE481D,"科學與倫理",""
愛情關係管理,GE484A,"「婚前教育手冊---交友篇」，教育部編印，2002"
愛情關係管理,GE484B,"「婚前教育手冊---交友篇」，教育部編印，2002"
愛情關係管理,GE484C,"「婚前教育手冊---交友篇」，教育部編印，2002"
工程倫理,GE488A,"工程倫理 : 100個個案故事","專業倫理 : 工程倫理"
工程倫理,GE488A,"工程倫理 : 100個個案故事","專業倫理 : 工程倫理"
工程倫理,GE488B,"專業倫理 : 工程倫理"
工程倫理,GE488B,"專業倫理 : 工程倫理"
工程倫理,GE488C
工程倫理,GE488C
工程倫理,GE488C
工程倫理,GE488D
工程倫理,GE488D
工程倫理,GE488E,"九路公車 : 享受熱情的人生","穩實安命","專業倫理: 工程倫理"
工程倫理,GE488E,"九路公車 : 享受熱情的人生","穩實安命","專業倫理: 工程倫理"
工程倫理,GE488F,"中原大學教務處補助編輯之倫理教材","穩實安命","九路公車"
工程倫理,GE488F,"中原大學教務處補助編輯之倫理教材","穩實安命","九路公車"
工程倫理,GE488G
工程倫理,GE488G
工程倫理,GE488G
工程倫理,GE488H,"），「正義：一場思辨之旅」"
工程倫理,GE488H,"），「正義：一場思辨之旅」"
性別平等與現代社會,GE490A,"自編教材","性別向度與台灣社會"
東南亞社會與文化,GE495A,"東南亞概論 : 臺灣的視角","今日的東南亞族裔群體"
全球原住民族文化,GE497A
國際現勢與兩岸關係,GE498A
國際現勢與兩岸關係,GE498B
品格與領導,GE509A
全球文化講座,GE516A
全球文化講座,GE516A
