課程名稱,課程代碼,參考書1,參考書2,參考書3,參考書4,參考書5,參考書6,參考書7,參考書8,參考書9,參考書10,參考書11,參考書12,參考書13,參考書14,參考書15,參考書16,參考書17,參考書18,參考書19,參考書20,參考書21,參考書22,參考書23,參考書24,參考書25,參考書26,參考書27,參考書28,參考書29,參考書30,參考書31,參考書32,參考書33,參考書34,參考書35,參考書36,參考書37,參考書38,參考書39,參考書40,參考書41
專業學期實習(一),CA001L
專業學期實習(二),CA002L
專業實習專題 ,CA003L
教育實習,ED002A,""
教育實習,ED002A,""
教育實習,ED002A,""
教育實習,ED002A,""
教育實習,ED002A,""
教育實習,ED002A,""
教育實習,ED002A,""
青少年心理學,ED049A,"青少年心理學","青少年心理學 : 青少年的發展、多樣性 、脈落與應用"
教育社會學,ED064A
教育心理學,ED085A,"教育心理學","教育心理學","教育心理學","教育心理學"
教育概論,ED087A
數學教材教法,ED103A,""
特殊教育導論,ED107A
教學原理與策略,ED118A,"教學原理","教學原理","實用教學原理","教學原理","教學原理--理論、實踐與專業"
教學原理與策略實踐,ED119A,"教學模式","基於腦的課堂設計","教學原理--理論、實踐與專業"
學習評量與診斷,ED120A
學習評量與診斷,ED120A
學習評量與診斷實踐,ED121A
學習評量與診斷實踐,ED121A
教學展演與表達,ED123A
國文教材教法,ED124A
英文教材教法,ED125A
生物教材教法,ED126A
多媒體設計教材教法,ED128A
輔導教材教法,ED129A,"綜合活動領域概論","綜合活動教材教法","綜合活動領域教師秘笈"
物理教材教法,ED148A
資訊科技教材教法,ED149A,"十二年國民基本教育課程綱要國民中小學暨普通型高級中等學校科技領域課程綱要","中學資訊科技教材教法"
課程發展與設計,ED325A
宗教哲學,GQ101A,"信不信由你—由哲學看宗教"
宗教哲學,GQ101B,"信不信由你—由哲學看宗教"
宗教哲學,GQ101C,"信不信由你—由哲學看宗教"
宗教哲學,GQ101D
宗教哲學,GQ101E
宗教哲學,GQ101F
宗教哲學,GQ101G
宗教哲學,GQ101H
宗教哲學,GQ101I,"標竿人生 : 建造目的導向的人生"
宗教哲學,GQ101J,"標竿人生 : 建造目的導向的人生"
宗教哲學,GQ101K,"標竿人生 : 建造目的導向的人生"
宗教哲學,GQ101L,"不一樣的信仰","與大師對話","聖經 (合和本)"
宗教哲學,GQ101M,"第三隻眼看伊斯蘭教","恩典作王","我信聖而公之教會"
宗教哲學,GQ101N,"宗教哲學","哲學家的武林大會","哲理縱橫","信的？諦 = The nature of faith","善惡的省思","苦難的尋思","真理的追尋 : 走出科學迷思,尋找生命出路 = The pursuit of truth","新知文庫 宗教哲學. 哲學圖書館","尋訪東西哲學境界","我的神祕經驗","苦罪懸謎 : 從中西哲學探討「惡的問題」","哲客俠情","慧境神遊 : 漫游東西哲學諸境界","宗教學概論","世界五大宗教","殊途同歸 : 基督教與其他各大宗教之比較","中國哲學十九講","爺爺的證明題：上帝存在嗎？","實存的真象 = The nature of reality"
宗教哲學,GQ101O
宗教哲學,GQ101P,"劍橋世界宗教","世界宗教理念史","你如何稱呼神","神的歷史"
宗教哲學,GQ101Q,"劍橋世界宗教","世界宗教理念史","你如何稱呼神","神的歷史"
