站名,座標,緯度,經度
大坡農會,24.96014+121.04082,24.96014,121.04082
大坡(二),24.95937+121.03933,24.95937,121.03933
昌裕,24.98878+121.26733,24.98878,121.26733
富台國小,24.93953+121.25249,24.93953,121.25249
崎頂(原住民文化會館),24.89812+121.2847,24.89812,121.2847
新街尾(和平老街),24.88413+121.28935,24.88413,121.28935
桃園市客家文化館,24.84563+121.23465,24.84563,121.23465
石門車站(壩頂),24.81211+121.24739,24.81211,121.24739
石門水庫坪林收費站,24.82082+121.25568,24.82082,121.25568
文化路活魚街,24.84241+121.24099,24.84241,121.24099
北水局(石門大草坪),24.83658+121.24088,24.83658,121.24088
三坑老街,24.84201+121.24403,24.84201,121.24403
石門山登山口(石門山),24.81918+121.23792,24.81918,121.23792
龍潭科學園區二,24.88626+121.18775,24.88626,121.18775
六福中山路口,25.05908+121.29562,25.05908,121.29562
鶴年,24.98624+121.26791,24.98624,121.26791
建國國小,24.98357+121.31496,24.98357,121.31496
昆明路,24.98381+121.31726,24.98381,121.31726
宋天宮,24.98776+121.31795,24.98776,121.31795
林森路,24.98847+121.32001,24.98847,121.32001
紹興街口,24.98946+121.31792,24.98946,121.31792
長安街口,24.98818+121.31617,24.98818,121.31617
福豐街口,24.98705+121.31182,24.98705,121.31182
福豐公園,24.98632+121.31133,24.98632,121.31133
金兆興,24.9837+121.2681,24.9837,121.2681
建國郵局,24.98521+121.30931,24.98521,121.30931
建國三民路口,24.9851+121.30784,24.9851,121.30784
東福園,25.02631+121.16233,25.02631,121.16233
集貨場,25.02209+121.1651,25.02209,121.1651
山東里,25.01804+121.17179,25.01804,121.17179
茶寮,25.01348+121.17054,25.01348,121.17054
茶寮坡,25.01138+121.16898,25.01138,121.16898
穎西公司,25.01028+121.16847,25.01028,121.16847
舊瓦窯,25.00743+121.16755,25.00743,121.16755
山下,25.00468+121.16783,25.00468,121.16783
江山社區,24.98163+121.26828,24.98163,121.26828
下梁山,24.99942+121.17007,24.99942,121.17007
梁厝,24.99565+121.16982,24.99565,121.16982
林森路6巷,24.98782+121.32014,24.98782,121.32014
南華中華路口,24.9904+121.30839,24.9904,121.30839
茶專路,25.00133+121.35556,25.00133,121.35556
紅寶社區,25.0007+121.3657,25.0007,121.3657
全真道院,25.01145+121.38977,25.01145,121.38977
大慶新世紀,25.01455+121.39339,25.01455,121.39339
龍華科技大學,25.01768+121.40455,25.01768,121.40455
捷運迴龍站,25.02168+121.41165,25.02168,121.41165
龍山國小,24.97997+121.26881,24.97997,121.26881
仁和路口,24.90268+121.27457,24.90268,121.27457
萬寶龍社區,24.94041+121.2566,24.94041,121.2566
頂永安,24.99442+121.03486,24.99442,121.03486
永興牧場,24.99939+121.03615,24.99939,121.03615
頂大欄,25.00501+121.04109,25.00501,121.04109
過溪,25.01653+121.05173,25.01653,121.05173
對面厝,25.01868+121.05406,25.01868,121.05406
住都飯店,24.97603+121.32326,24.97603,121.32326
溪口台,24.80341+121.34659,24.80341,121.34659
溪口,24.79943+121.34342,24.79943,121.34342
優點頂,24.79772+121.34318,24.79772,121.34318
嘎巴鬧,24.7902+121.33274,24.7902,121.33274
上奎輝,24.79123+121.33325,24.79123,121.33325
奎輝,24.7972+121.33405,24.7972,121.33405
田尾,24.7987+121.32744,24.7987,121.32744
美腿山,24.79803+121.31388,24.79803,121.31388
竹頭角,24.79974+121.31004,24.79974,121.31004
長興,24.80057+121.30701,24.80057,121.30701
桃園郵局,24.99336+121.31174,24.99336,121.31174
高遶坪,24.80195+121.29849,24.80195,121.29849
高遶,24.80126+121.29009,24.80126,121.29009
桃源仙谷,24.78778+121.27828,24.78778,121.27828
上高遶,24.78572+121.27776,24.78572,121.27776
榮民南路,24.94189+121.25729,24.94189,121.25729
地方稅務局,24.99498+121.31979,24.99498,121.31979
市議會,24.99694+121.32241,24.99694,121.32241
台灣拉鍊,24.96463+121.23699,24.96463,121.23699
退輔會,24.94943+121.2425,24.94943,121.2425
自強路,24.99755+121.31833,24.99755,121.31833
福元街口,25.00924+121.31469,25.00924,121.31469
寶山大有路口,25.01284+121.3177,25.01284,121.3177
民光東路,25.00817+121.31895,25.00817,121.31895
新光三越,25.00839+121.32029,25.00839,121.32029
榮總門診大樓,25.00376+121.32372,25.00376,121.32372
寶山街口,25.01277+121.31847,25.01277,121.31847
興二街口,25.01776+121.31615,25.01776,121.31615
中壢簡易庭,24.9638+121.23461,24.9638,121.23461
快樂公園,25.01859+121.31579,25.01859,121.31579
市立殯儀館,25.0215+121.31459,25.0215,121.31459
健行路口,25.02265+121.31235,25.02265,121.31235
健行路,25.02198+121.30915,25.02198,121.30915
鹽庫西街口,25.02464+121.30663,25.02464,121.30663
水汴頭,25.02635+121.30592,25.02635,121.30592
春日路幸福路口,25.02909+121.3039,25.02909,121.3039
大潭國小,25.02208+121.05861,25.02208,121.05861
上大潭,25.0241+121.06067,25.0241,121.06067
下塘尾,25.02858+121.06725,25.02858,121.06725
塘尾,25.02942+121.0684,25.02942,121.0684
上塘尾,25.03184+121.07104,25.03184,121.07104
中壢聯合辦公大樓,24.96306+121.22923,24.96306,121.22923
塘頭,25.0345+121.07487,25.0345,121.07487
燈塔,25.03638+121.07938,25.03638,121.07938
觀音行政園區,25.02882+121.08468,25.02882,121.08468
坑尾里,25.03154+121.09353,25.03154,121.09353
上大坡腳,25.03018+121.10508,25.03018,121.10508
金石路口,25.02882+121.10711,25.02882,121.10711
金湖,25.02555+121.11237,25.02555,121.11237
瑞祥,25.0237+121.1153,25.0237,121.1153
新街,24.96167+121.22711,24.96167,121.22711
立隆,25.02239+121.11734,25.02239,121.11734
東元,25.02125+121.11915,25.02125,121.11915
水尾河,25.02067+121.12086,25.02067,121.12086
上水尾,25.0185+121.124,25.0185,121.124
寶蓮寺,25.01584+121.12975,25.01584,121.12975
益興,24.86166+121.28264,24.86166,121.28264
內柵,24.8597+121.28126,24.8597,121.28126
內柵廟,24.85726+121.28087,24.85726,121.28087
頂埔尾,24.85443+121.27935,24.85443,121.27935
埔尾水頭,24.85023+121.27564,24.85023,121.27564
華聲,24.844+121.27232,24.844,121.27232
石門新村,24.84265+121.27218,24.84265,121.27218
崁頭,24.8411+121.27222,24.8411,121.27222
崁頂,24.8387+121.27216,24.8387,121.27216
葫蘆坑,24.83329+121.27143,24.83329,121.27143
新溪洲,24.82951+121.26902,24.82951,121.26902
山腳,24.82321+121.26028,24.82321,121.26028
坪林,24.82214+121.25769,24.82214,121.25769
東山里,24.99091+121.31701,24.99091,121.31701
大埔心,25.04479+121.22366,25.04479,121.22366
中壢監理站,24.95974+121.225,24.95974,121.225
福山街口,25.01504+121.31159,25.01504,121.31159
大業路郵局,25.0129+121.31212,25.0129,121.31212
同德七街,25.0138+121.29405,25.0138,121.29405
綠意心賞,25.02375+121.29338,25.02375,121.29338
西埔,25.02563+121.27783,25.02563,121.27783
下埔子,25.01531+121.28519,25.01531,121.28519
西埔社區,25.01142+121.27709,25.01142,121.27709
華夏大飯店,25.06147+121.36443,25.06147,121.36443
國際永安路口,25.00806+121.28632,25.00806,121.28632
亞洲高球場,25.00425+121.28629,25.00425,121.28629
國際大興西路口,25.00126+121.28712,25.00126,121.28712
國際文中路口,24.99823+121.28794,24.99823,121.28794
中興國中,24.99577+121.29108,24.99577,121.29108
天台社區,25.0084+121.28955,25.0084,121.28955
桃園看守所,24.99393+121.29022,24.99393,121.29022
國際路口,24.98948+121.28874,24.98948,121.28874
永和市場,24.99733+121.3093,24.99733,121.3093
戶政地政所,24.99034+121.279,24.99034,121.279
國強七街口,24.9891+121.2795,24.9891,121.2795
龍鳳三街,24.98736+121.27959,24.98736,121.27959
文學苑社區,24.98873+121.27823,24.98873,121.27823
消防隊,24.99009+121.27759,24.99009,121.27759
國強十三街,24.9922+121.27553,24.9922,121.27553
龍壽街273巷,24.98896+121.26728,24.98896,121.26728
成功國小,24.99831+121.3073,24.99831,121.3073
龍翔托兒所,24.98025+121.26929,24.98025,121.26929
藝術名廈,24.99227+121.27666,24.99227,121.27666
永安路口,24.99726+121.30591,24.99726,121.30591
迪斯耐社區,24.99254+121.28585,24.99254,121.28585
國強一街,24.99278+121.2875,24.99278,121.2875
延壽街,24.99504+121.28831,24.99504,121.28831
國強一街口,24.99285+121.2878,24.99285,121.2878
國際京城,24.98778+121.28925,24.98778,121.28925
中德里市民活動中心,24.97746+121.28916,24.97746,121.28916
中山里活動中心,24.97497+121.28899,24.97497,121.28899
大湳給水廠,24.97355+121.28905,24.97355,121.28905
龍吟社區,24.96725+121.29229,24.96725,121.29229
崇德社區,24.96371+121.29252,24.96371,121.29252
中路北街口,24.96215+121.29293,24.96215,121.29293
無線電台站,24.97173+121.30183,24.97173,121.30183
大興西永安路口,25.00801+121.29379,25.00801,121.29379
中平路口,24.98706+121.29262,24.98706,121.29262
大成國小,24.9573+121.29784,24.9573,121.29784
福國街口,24.95546+121.29303,24.95546,121.29303
上興興中街口 ,25.01892+121.25931,25.01892,121.25931
竹圍,25.10584+121.24346,25.10584,121.24346
竹圍(福元宮),25.10772+121.24245,25.10772,121.24245
甲蟲公園,24.97758+121.25288,24.97758,121.25288
陸軍專科學校,24.93885+121.25925,24.93885,121.25925
聖恩宮,25.03475+121.11833,25.03475,121.11833
石梅,25.03218+121.12126,25.03218,121.12126
新坡御品,25.02369+121.1303,25.02369,121.1303
九崁店,24.99858+121.30338,24.99858,121.30338
青果中心,24.99262+121.32514,24.99262,121.32514
頂興路口,24.99292+121.32781,24.99292,121.32781
中原大學全人村,24.95829+121.24151,24.95829,121.24151
自立社區C區,24.96617+121.25221,24.96617,121.25221
八德區公所(農會),24.92917+121.28506,24.92917,121.28506
拔仔埔,24.99318+121.33026,24.99318,121.33026
陸光二村,24.99415+121.33477,24.99415,121.33477
萬壽中興路口,24.99477+121.33659,24.99477,121.33659
龜山,24.99521+121.33798,24.99521,121.33798
壽山高中,24.99471+121.34062,24.99471,121.34062
大同路口,24.99391+121.34077,24.99391,121.34077
民安路口,24.99957+121.30103,24.99957,121.30103
壽山高中(中興路),24.99488+121.34023,24.99488,121.34023
幼獅工業區,24.92569+121.1748,24.92569,121.1748
青年路口,24.92378+121.17216,24.92378,121.17216
青年路,24.92587+121.17029,24.92587,121.17029
圓環,24.92815+121.16894,24.92815,121.16894
世紀社區,24.93037+121.16692,24.93037,121.16692
裕民社區,24.93306+121.16324,24.93306,121.16324
幼獅路口,24.93503+121.16113,24.93503,121.16113
八角店(開南大學),25.01207+121.2752,25.01207,121.2752
臺灣菸酒公司,25.00344+121.30932,25.00344,121.30932
下內定,25.00702+121.24716,25.00702,121.24716
力行路口,25.0006+121.29946,25.0006,121.29946
南源公司,25.00881+121.24719,25.00881,121.24719
南坡頂,25.01012+121.24721,25.01012,121.24721
上崎腳,25.02096+121.2403,25.02096,121.2403
溪洲,25.04301+121.18401,25.04301,121.18401
崙后,25.05337+121.19311,25.05337,121.19311
萊爾富桃正店,25.05655+121.19572,25.05655,121.19572
蓮華寺,25.00338+121.29713,25.00338,121.29713
大興市場,25.06139+121.19422,25.06139,121.19422
大園區公所,25.0636+121.19556,25.0636,121.19556
永豐銀行,25.06627+121.19692,25.06627,121.19692
7-11國航門市,25.07053+121.19672,25.07053,121.19672
福忠宮牌樓,25.07603+121.20434,25.07603,121.20434
后厝國小,25.0809+121.21593,25.0809,121.21593
沙崙坡堵,25.09028+121.22927,25.09028,121.22927
永安溫州街口,25.0048+121.29591,25.0048,121.29591
樹仔坡,25.08739+121.25389,25.08739,121.25389
林口長庚醫院(復興一路前),25.05972+121.36804,25.05972,121.36804
埔心國小,25.04938+121.22375,25.04938,121.22375
大溪山水,24.89502+121.27706,24.89502,121.27706
凌雲國中,24.85914+121.20299,24.85914,121.20299
永豐市場,24.89639+121.21109,24.89639,121.21109
永美路,24.91814+121.18296,24.91814,121.18296
上大竹,25.02179+121.26279,25.02179,121.26279
南埔里活動中心,25.00603+121.29436,25.00603,121.29436
大竹,25.02394+121.25943,25.02394,121.25943
蘆竹親子館(大竹),25.02482+121.25699,25.02482,121.25699
奈德公司,25.03733+121.23269,25.03733,121.23269
上田心仔,25.06561+121.18845,25.06561,121.18845
田心仔,25.06583+121.18648,25.06583,121.18648
冾溪橋,25.06564+121.18379,25.06564,121.18379
新長發,25.06341+121.17838,25.06341,121.17838
南港,25.06138+121.1735,25.06138,121.1735
上伯公,24.86669+121.21357,24.86669,121.21357
忠恕家園,24.88767+121.21259,24.88767,121.21259
龍潭分局,24.86888+121.20775,24.86888,121.20775
橋下,24.92135+121.18317,24.92135,121.18317
大同公司,25.05758+121.16469,25.05758,121.16469
永安北路,25.00753+121.2914,25.00753,121.2914
浮圳,25.05493+121.15842,25.05493,121.15842
保障橋,25.05134+121.14964,25.05134,121.14964
保障宮,25.04869+121.14429,25.04869,121.14429
草漯,25.04778+121.14317,25.04778,121.14317
草音,25.04697+121.1422,25.04697,121.1422
草漯國中,25.04493+121.13972,25.04493,121.13972
瑞正,25.04291+121.13669,25.04291,121.13669
樹林,25.03831+121.12907,25.03831,121.12907
埔子(富國路口),25.00991+121.28857,25.00991,121.28857
詹厝前,25.03723+121.12666,25.03723,121.12666
富林,25.03686+121.12324,25.03686,121.12324
富林國小,25.03656+121.12093,25.03656,121.12093
富林社區,25.0363+121.11707,25.0363,121.11707
富林橋,25.03617+121.11567,25.03617,121.11567
溪底,25.03565+121.11079,25.03565,121.11079
上埔頂,25.03502+121.10488,25.03502,121.10488
小億,25.03456+121.09967,25.03456,121.09967
福星公司,25.03418+121.09666,25.03418,121.09666
無線電台,25.01349+121.28665,25.01349,121.28665
下溝尾,25.03422+121.09078,25.03422,121.09078
中心用品公司,25.03449+121.08871,25.03449,121.08871
遠東公司,25.03468+121.08672,25.03468,121.08672
觀音,25.03574+121.08382,25.03574,121.08382
千禧新城,25.00047+121.34213,25.00047,121.34213
光華派出所,24.65541+121.39932,24.65541,121.39932
復華,24.66164+121.35518,24.66164,121.35518
爺亨,24.6706+121.3734,24.6706,121.3734
三陽高平路,24.93658+121.14022,24.93658,121.14022
天成醫院,24.90843+121.15706,24.90843,121.15706
楊梅交流道,24.90849+121.16804,24.90849,121.16804
畜試所,24.89511+121.1086,24.89511,121.1086
三民金溪路口,24.90519+121.1739,24.90519,121.1739
富元街525巷口,24.92792+121.08702,24.92792,121.08702
北勢橋,24.92533+121.21249,24.92533,121.21249
長榮空廚,25.06769+121.27062,25.06769,121.27062
台茂,25.05243+121.28696,25.05243,121.28696
桃園醫院,24.97716+121.26915,24.97716,121.26915
文華國小,25.05163+121.36559,25.05163,121.36559
埔子下,25.01562+121.28513,25.01562,121.28513
文化七路,25.05334+121.36111,25.05334,121.36111
捷運環北站,24.96672+121.22163,24.96672,121.22163
機場諾富特旅館,25.06883+121.2201,25.06883,121.2201
南平中正路口,25.01848+121.29916,25.01848,121.29916
江夏科文祖堂,24.8463+121.19519,24.8463,121.19519
羅馬磁磚公司,24.83976+121.20621,24.83976,121.20621
渴望三期社區,24.84291+121.17603,24.84291,121.17603
中華龍壽街口,24.97772+121.27051,24.97772,121.27051
大湳市場,24.95885+121.29794,24.95885,121.29794
敏盛大園醫院,25.06183+121.19521,25.06183,121.19521
富國起毛廠,25.018+121.28419,25.018,121.28419
油欣精機,24.89475+121.13747,24.89475,121.13747
中壢農會,24.95545+121.22585,24.95545,121.22585
龍仁龍泉街口,24.93604+121.23347,24.93604,121.23347
莊敬里,24.90165+121.21133,24.90165,121.21133
仁美路,24.9219+121.18631,24.9219,121.18631
海湖工業區,25.10947+121.26513,25.10947,121.26513
光明國小,25.04159+121.29034,25.04159,121.29034
奉化南順一街口,25.04125+121.28546,25.04125,121.28546
長生電力公司,25.11342+121.2569,25.11342,121.2569
中正北路320巷,25.0358+121.28577,25.0358,121.28577
銀店子,25.01988+121.28271,25.01988,121.28271
長壽育英街口,24.9987+121.3388,24.9987,121.3388
內厝,24.98763+121.18966,24.98763,121.18966
中正三路406巷,24.93451+121.32636,24.93451,121.32636
中園育樂街口,24.96723+121.23654,24.96723,121.23654
郭祿五金,25.02069+121.23619,25.02069,121.23619
大同新村,24.99098+121.34395,24.99098,121.34395
豐田豐德路口,24.9256+121.2903,24.9256,121.2903
遠雄艾菲爾,24.92519+121.28677,24.92519,121.28677
興仁里,24.92643+121.28454,24.92643,121.28454
連城橋(姜太公廟),24.93141+121.27734,24.93141,121.27734
富國社區,25.02146+121.28104,25.02146,121.28104
建德興豐路口(G01),24.92963+121.28088,24.92963,121.28088
深耕十期社區,24.92591+121.28093,24.92591,121.28093
豐德中正路口,24.92475+121.28259,24.92475,121.28259
文明路,25.05452+121.37978,25.05452,121.37978
功學社,24.95492+121.25601,24.95492,121.25601
德明路口,24.98994+121.34455,24.98994,121.34455
資管大樓,24.98487+121.34178,24.98487,121.34178
銘傳大學,24.98354+121.34212,24.98354,121.34212
銘傳大學一,24.98461+121.34363,24.98461,121.34363
青埔致遠一路口,25.00773+121.21584,25.00773,121.21584
建國路631巷口,24.94663+121.28899,24.94663,121.28899
埔心,25.05394+121.22508,25.05394,121.22508
電研路188巷,24.95495+121.16772,24.95495,121.16772
新北大道(天祥街口),25.03008+121.41376,25.03008,121.41376
光明郵局,25.03889+121.29308,25.03889,121.29308
麗寶經典,25.03811+121.29127,25.03811,121.29127
奉化忠孝西路口,25.03956+121.28861,25.03956,121.28861
雙叉路口,25.01619+121.13536,25.01619,121.13536
坡內,25.01793+121.13779,25.01793,121.13779
廣福,25.02429+121.14205,25.02429,121.14205
福安橋,25.02854+121.14369,25.02854,121.14369
塔仔腳,25.03669+121.14391,25.03669,121.14391
二聖路口,25.03898+121.14393,25.03898,121.14393
草漯國小,25.04559+121.14291,25.04559,121.14291
草新,25.04687+121.14271,25.04687,121.14271
保障,25.05322+121.14716,25.05322,121.14716
新村路口,25.06268+121.13276,25.06268,121.13276
夏威夷社區,24.89639+121.16092,24.89639,121.16092
樹林新村,25.06127+121.12783,25.06127,121.12783
卜內門,25.0637+121.12596,25.0637,121.12596
日本礦業,25.06253+121.12453,25.06253,121.12453
光裕北街1,24.89955+121.16045,24.89955,121.16045
基富,25.05997+121.11875,25.05997,121.11875
僑愛基督長老教會,24.92372+121.29568,24.92372,121.29568
僑愛,24.92243+121.29476,24.92243,121.29476
僑愛國小,24.92029+121.29296,24.92029,121.29296
松樹腳,24.91442+121.28985,24.91442,121.28985
光裕北街2,24.89827+121.15851,24.89827,121.15851
大成社區,24.91112+121.28839,24.91112,121.28839
溫德爾幼稚園,24.90845+121.28683,24.90845,121.28683
新麗公司,24.90395+121.28445,24.90395,121.28445
太武,24.90174+121.28384,24.90174,121.28384
山鶯萬壽路口,24.99111+121.32323,24.99111,121.32323
光裕北街3,24.8946+121.16023,24.8946,121.16023
萬壽山鶯路口,24.99188+121.32229,24.99188,121.32229
名億,25.05898+121.11871,25.05898,121.11871
歌林二廠,25.05629+121.12009,25.05629,121.12009
日豐,25.05388+121.12093,25.05388,121.12093
樺秸,25.05243+121.11885,25.05243,121.11885
楊梅行政園區,24.89728+121.14953,24.89728,121.14953
工管中心,25.05246+121.11781,25.05246,121.11781
經建一路,25.05397+121.11703,25.05397,121.11703
臺玻,25.05988+121.11403,25.05988,121.11403
樹林仔,25.06387+121.1105,25.06387,121.1105
上邱厝,25.06222+121.10735,25.06222,121.10735
移民新村,25.06074+121.10524,25.06074,121.10524
林務局,25.05634+121.10159,25.05634,121.10159
白玉橋,25.05442+121.09899,25.05442,121.09899
白玉,25.05114+121.09526,25.05114,121.09526
塔前,25.04974+121.09399,25.04974,121.09399
老坑口,24.89871+121.15128,24.89871,121.15128
江厝,25.04753+121.09249,25.04753,121.09249
麥厝,25.04435+121.0895,25.04435,121.0895
歐厝,25.03936+121.08304,25.03936,121.08304
文三忠孝路口,25.07457+121.36559,25.07457,121.36559
中正同德十一街口,25.02088+121.29619,25.02088,121.29619
永興公園,24.86717+121.22411,24.86717,121.22411
花園國宅,24.86858+121.23022,24.86858,121.23022
武漢國小,24.87013+121.23502,24.87013,121.23502
東興,24.87289+121.23412,24.87289,121.23412
中興路55巷口,24.87646+121.24118,24.87646,121.24118
楊梅老人會館,24.90351+121.15042,24.90351,121.15042
民豐一街,24.88142+121.24275,24.88142,121.24275
興中宮,24.88338+121.24083,24.88338,121.24083
龍平路,24.88421+121.23791,24.88421,121.23791
武中路422巷口,24.88138+121.23582,24.88138,121.23582
武漢國中,24.87897+121.23214,24.87897,121.23214
布查花園,24.87694+121.23232,24.87694,121.23232
中興路336巷,24.87475+121.23248,24.87475,121.23248
國聯,24.87277+121.23274,24.87277,121.23274
國建二路,25.05829+121.11314,25.05829,121.11314
國瑞路,25.05976+121.11103,25.05976,121.11103
中山一路,24.92185+121.28294,24.92185,121.28294
中山路1巷,24.9062+121.14906,24.9062,121.14906
寶德堂,24.91811+121.28136,24.91811,121.28136
仁德街口,24.91426+121.28069,24.91426,121.28069
仁善國小,24.90916+121.27898,24.90916,121.27898
隆德街口,24.89857+121.27506,24.89857,121.27506
復興新城,24.89171+121.27319,24.89171,121.27319
頂好新城,24.88789+121.27007,24.88789,121.27007
齋明寺,24.88643+121.27003,24.88643,121.27003
員樹林農會,24.88386+121.26759,24.88386,121.26759
員樹林,24.89041+121.27145,24.89041,121.27145
忠勇二村,24.88104+121.26513,24.88104,121.26513
民族龍門街口,24.83341+121.23329,24.83341,121.23329
民生報社,24.90722+121.14799,24.90722,121.14799
綠光森林,24.81745+121.3749,24.81745,121.3749
至善新村,24.87663+121.26311,24.87663,121.26311
海山大有街口,25.09364+121.26714,25.09364,121.26714
大興大業路口,25.01585+121.31178,25.01585,121.31178
會稽國中,25.01608+121.31368,25.01608,121.31368
南平同安街口,25.01982+121.30247,25.01982,121.30247
李屋,24.92932+121.21375,24.92932,121.21375
天乙藥局,24.90793+121.14728,24.90793,121.14728
下王屋,24.9228+121.21196,24.9228,121.21196
王屋,24.92093+121.21147,24.92093,121.21147
臺灣桃園地方法院檢察署,25.00602+121.28777,25.00602,121.28777
民生建國路口,24.84853+121.22984,24.84853,121.22984
健康,24.84336+121.20987,24.84336,121.20987
銅鑼圈,24.83551+121.20703,24.83551,121.20703
高原郵局,24.84605+121.19854,24.84605,121.19854
宜欣陽光,24.85184+121.20092,24.85184,121.20092
嘉裕紡織,24.95807+121.16854,24.95807,121.16854
泥橋子,24.84902+121.19734,24.84902,121.19734
高平消防隊,24.84126+121.184,24.84126,121.184
渴望會館,24.84+121.18277,24.84,121.18277
名人社區,24.84135+121.17865,24.84135,121.17865
希望四季,24.83808+121.18714,24.83808,121.18714
法蘭朵社區,24.83517+121.19032,24.83517,121.19032
渴望路口,24.83318+121.19296,24.83318,121.19296
高原工業區,24.83098+121.19896,24.83098,121.19896
三元宮路口,24.83371+121.20232,24.83371,121.20232
南四方林,24.85564+121.20286,24.85564,121.20286
崙頂,25.05818+121.16609,25.05818,121.16609
大安街口,25.02151+121.21523,25.02151,121.21523
配銷所,24.86959+121.25849,24.86959,121.25849
蕃仔寮,24.86561+121.25246,24.86561,121.25246
皇家社區,24.86189+121.25083,24.86189,121.25083
淮子埔,24.85407+121.25087,24.85407,121.25087
漢英高中,24.84813+121.24421,24.84813,121.24421
十一份,24.84222+121.24078,24.84222,121.24078
石門國中,24.84043+121.24046,24.84043,121.24046
三林,24.84454+121.23639,24.84454,121.23639
三角林,24.84946+121.22974,24.84946,121.22974
上華,24.85314+121.22318,24.85314,121.22318
雙連街口,24.85423+121.22063,24.85423,121.22063
民族路311巷口,24.838+121.23458,24.838,121.23458
中山復興路口,24.95598+121.22441,24.95598,121.22441
薇爾文教機構,24.98179+121.31926,24.98179,121.31926
龜山工業區服務中心,24.98368+121.32319,24.98368,121.32319
興邦建國路口,24.98532+121.32236,24.98532,121.32236
桃園高中,24.99905+121.32594,24.99905,121.32594
龍星國小,24.86277+121.21754,24.86277,121.21754
自強公園,24.96764+121.25902,24.96764,121.25902
中正北龍路口,24.86759+121.21567,24.86759,121.21567
建國路70巷口,24.84269+121.23449,24.84269,121.23449
建國路180巷口,24.84477+121.23297,24.84477,121.23297
陸光五村,24.96601+121.25963,24.96601,121.25963
南亞(好市多),25.05437+121.28349,25.05437,121.28349
羅丹社區,25.04938+121.16548,25.04938,121.16548
聖亭復興路口,24.86905+121.20567,24.86905,121.20567
懷寧醫院(正光街),24.96126+121.2057,24.96126,121.2057
福森山莊,24.70108+121.42023,24.70108,121.42023
非常大地,24.93574+121.21563,24.93574,121.21563
永隆農場,24.69272+121.41386,24.69272,121.41386
達觀農場,24.69075+121.41119,24.69075,121.41119
峻林農場,24.69016+121.40953,24.69016,121.40953
停車場,24.69057+121.4065,24.69057,121.4065
長祥宮(中華南路),24.95885+121.1151,24.95885,121.1151
臨時站,24.73807+121.35012,24.73807,121.35012
雪霧鬧,24.74715+121.3537,24.74715,121.3537
羅福派出所,24.7991+121.36513,24.7991,121.36513
成福路口,24.81425+121.35331,24.81425,121.35331
復興,24.81462+121.35094,24.81462,121.35094
溪海國小,25.04661+121.18668,25.04661,121.18668
三坑,24.84208+121.244,24.84208,121.244
永興,24.83775+121.24611,24.83775,121.24611
大坪,24.82995+121.24343,24.82995,121.24343
鴻濱,24.82747+121.24004,24.82747,121.24004
民治七街,24.82256+121.23602,24.82256,121.23602
石門山登山口1,24.82052+121.23749,24.82052,121.23749
石門山登山口2,24.81909+121.23785,24.81909,121.23785
收費站,24.81542+121.24111,24.81542,121.24111
依山閣,24.81131+121.24023,24.81131,121.24023
嵩台,24.8106+121.24364,24.8106,121.24364
石門車站,24.81211+121.24739,24.81211,121.24739
逸園,24.84095+121.23563,24.84095,121.23563
金山社區,24.8355+121.2334,24.8355,121.2334
長榮吉邸,25.04823+121.3012,25.04823,121.3012
澹園,24.82758+121.2309,24.82758,121.2309
配銷中心,24.92412+121.24627,24.92412,121.24627
坑菓幸福路口,25.08134+121.26143,25.08134,121.26143
三民坑果路口,25.07972+121.25868,25.07972,121.25868
草嶺腳(富田農場),24.84278+121.28722,24.84278,121.28722
中華電信大溪服務中心,24.88167+121.28893,24.88167,121.28893
觀音寺,24.88747+121.28661,24.88747,121.28661
莊敬敬二街口,25.02286+121.29391,25.02286,121.29391
中壢總站,24.95319+121.22401,24.95319,121.22401
東福,24.97537+121.08047,24.97537,121.08047
技訓中心,25.00082+121.32446,25.00082,121.32446
春日路,25.00147+121.31388,25.00147,121.31388
旭登護理之家,24.97523+121.31026,24.97523,121.31026
中華路農會,24.87645+121.2911,24.87645,121.2911
龍潭行政園區,24.87043+121.22281,24.87043,121.22281
蘆竹郵局,25.0548+121.29088,25.0548,121.29088
偉辰公司,25.07936+121.31554,25.07936,121.31554
仁愛社區,24.9566+121.25307,24.9566,121.25307
莊敬富國街口,24.96823+121.25748,24.96823,121.25748
民生成功路口,24.99262+121.3136,24.99262,121.3136
高義國小,24.71221+121.36021,24.71221,121.36021
上高義,24.70755+121.35483,24.70755,121.35483
月桃路381巷口,25.01506+121.17639,25.01506,121.17639
山東路1450巷口,25.0194+121.17493,25.0194,121.17493
山安路76巷口,25.02211+121.17551,25.02211,121.17551
山安安大路口,25.0247+121.17193,25.0247,121.17193
山大二路38巷口,25.02648+121.16848,25.02648,121.16848
山大二路198巷口,25.02476+121.16588,25.02476,121.16588
圓光山東路口,25.0093+121.1685,25.0093,121.1685
亞洲工業,24.83712+121.20973,24.83712,121.20973
高平水廠,24.82532+121.216,24.82532,121.216
十股,24.82144+121.21568,24.82144,121.21568
龍源國小,24.82417+121.21,24.82417,121.21
高平活動中心,24.82666+121.20634,24.82666,121.20634
彩虹玫瑰社區,24.94098+121.21025,24.94098,121.21025
忠貞國小,24.92226+121.25073,24.92226,121.25073
官路缺,24.91937+121.2538,24.91937,121.2538
大社區,24.91694+121.25558,24.91694,121.25558
