站名,座標,緯度,經度
皇天宮,24.97756+121.23618,24.97756,121.23618
大深坑,24.94182+121.00246,24.94182,121.00246
深坑橋,24.93937+121.00242,24.93937,121.00242
後湖,24.93336+120.99825,24.93336,120.99825
草嶺腳,24.84273+121.28727,24.84273,121.28727
頭寮,24.84713+121.2851,24.84713,121.2851
大溪陵寢,24.8488+121.28661,24.8488,121.28661
福安國小,24.85014+121.28813,24.85014,121.28813
啟英高中,24.97582+121.23609,24.97582,121.23609
龍溪花園,24.85371+121.29057,24.85371,121.29057
三層,24.85878+121.2951,24.85878,121.2951
埔心仔,24.86324+121.29457,24.86324,121.29457
三層崎頂,24.86641+121.29394,24.86641,121.29394
三層崎腳,24.87805+121.29314,24.87805,121.29314
桃客大溪站,24.88118+121.2879,24.88118,121.2879
興埔路口,24.9344+121.22526,24.9344,121.22526
正義路口,24.93069+121.22652,24.93069,121.22652
莊屋,24.92707+121.22757,24.92707,121.22757
橋頭埔,24.92344+121.22803,24.92344,121.22803
慈惠堂,24.9207+121.22894,24.9207,121.22894
柑仔園,24.9184+121.23036,24.9184,121.23036
曾家莊,24.9166+121.23116,24.9166,121.23116
桃園纖維,24.91256+121.23109,24.91256,121.23109
東勢,24.91039+121.23112,24.91039,121.23112
平東橋,24.90431+121.23096,24.90431,121.23096
馮屋,24.90247+121.23329,24.90247,121.23329
中園福州二街口,24.96947+121.23598,24.96947,121.23598
伯公崙,24.90001+121.23492,24.90001,121.23492
金東湖,24.89494+121.23709,24.89494,121.23709
伯公下,24.88433+121.22979,24.88433,121.22979
仁和國中,24.8938+121.27548,24.8938,121.27548
竹圍總站,25.10604+121.24019,25.10604,121.24019
叉路口,24.87934+121.22885,24.87934,121.22885
長榮花園,25.05672+121.29774,25.05672,121.29774
中壢後站,24.95271+121.2251,24.95271,121.2251
三光,24.67352+121.36775,24.67352,121.36775
中山育樂街口,24.99211+121.30397,24.99211,121.30397
沙崙子,24.67095+121.35531,24.67095,121.35531
尾寮,24.88313+121.30029,24.88313,121.30029
美華國小,24.88203+121.30361,24.88203,121.30361
十全,24.87909+121.30301,24.87909,121.30301
台廣電台,24.87779+121.30235,24.87779,121.30235
永和,24.98781+121.0238,24.98781,121.0238
永安漁港,24.98824+121.01846,24.98824,121.01846
天水堂,24.97865+121.08109,24.97865,121.08109
上赤欄,24.98249+121.07917,24.98249,121.07917
安養中心,24.98455+121.07802,24.98455,121.07802
洽溪,25.01642+121.20331,25.01642,121.20331
赤欄,24.98601+121.0768,24.98601,121.0768
中赤欄,24.98833+121.07504,24.98833,121.07504
下赤欄,24.99031+121.07288,24.99031,121.07288
偉儷公司,24.99094+121.07095,24.99094,121.07095
豐田,24.99294+121.06866,24.99294,121.06866
上員笨,24.99445+121.06613,24.99445,121.06613
員笨,24.99597+121.06355,24.99597,121.06355
石牌嶺,24.99802+121.06002,24.99802,121.06002
中石牌,24.99987+121.057,24.99987,121.057
羅厝,25.01458+121.20367,25.01458,121.20367
下石牌嶺,25.00277+121.05233,25.00277,121.05233
北湖國小,25.00447+121.04954,25.00447,121.04954
北湖,25.00743+121.04476,25.00743,121.04476
北湖一,25.01005+121.04053,25.01005,121.04053
中北湖,25.01166+121.03791,25.01166,121.03791
姜厝,25.01266+121.03647,25.01266,121.03647
下北湖,25.01469+121.03437,25.01469,121.03437
小角廟,24.87383+121.30043,24.87383,121.30043
小角仔,24.87173+121.30112,24.87173,121.30112
紅瓦厝,24.86921+121.29971,24.86921,121.29971
莉仔寮,24.86563+121.29677,24.86563,121.29677
下莉仔寮,24.86673+121.29758,24.86673,121.29758
上莉仔寮,24.86312+121.29575,24.86312,121.29575
琪富,24.84385+121.28326,24.84385,121.28326
頭寮城,24.83953+121.28127,24.83953,121.28127
竹篙厝,24.83752+121.27964,24.83752,121.27964
內湳溝,24.82929+121.30212,24.82929,121.30212
承恩,24.82733+121.29871,24.82733,121.29871
承恩橋,24.82585+121.29745,24.82585,121.29745
溝尾,24.82471+121.29433,24.82471,121.29433
懷德橋,24.82342+121.28694,24.82342,121.28694
龍珠灣樂園,24.82026+121.28737,24.82026,121.28737
二層坪,24.81653+121.2909,24.81653,121.2909
溪尾坪,24.81678+121.29913,24.81678,121.29913
阿姆坪樂園,24.81568+121.30424,24.81568,121.30424
阿姆坪,24.81798+121.31107,24.81798,121.31107
舊路口,24.82077+121.3121,24.82077,121.3121
